title,linkn,imgurl
"COMFEE' CRM45D3AST Cu Ft Double Door Refrigerator, 4.5 Cuft, Silver",https://www.amazon.com/COMFEE-CRM45D3AST-Double-Refrigerator-Stainless/dp/B09F38ZW9Q/ref=sr_1_22?dib=eyJ2IjoiMSJ9._ML-eIcX94xzk1kXKYKnDR76Q6Wnx2uC5g2CZB4ExodaHhsHdP8Cthc64FsmyON0RRQdNCjmna4HP0GlDJJx5cZ3Ad6mlNsdOavyKcsuvD5RzNq95l4A0-hQv-lykFF6eM4jUmIKqdiOhX04XZY3aq7US_5a6oBFMh3f2wjuL0pSJpvXoMV7v8soFjq0azX-l5kuQFW4VLH_TWSQsMq1-YToUK526Agc2yY8H6OF0uU.EVkoKLBdeuj0aBPI8A97d4oXIBg3y9fcO091W9NUCTQ&dib_tag=se&keywords=fridge&qid=1718608271&sr=8-22,https://m.media-amazon.com/images/I/61W+ckCCZvL._AC_SY445_SX342_.jpg
"West Bend Frost Free Apartment Size Refrigerator, 10.1 Cu.Ft, Metallic",https://www.amazon.com/West-Bend-WB0100TMFBSS-Apartment-Refrigerator/dp/B0C1PB9WVY/ref=sr_1_23?dib=eyJ2IjoiMSJ9._ML-eIcX94xzk1kXKYKnDR76Q6Wnx2uC5g2CZB4ExodaHhsHdP8Cthc64FsmyON0RRQdNCjmna4HP0GlDJJx5cZ3Ad6mlNsdOavyKcsuvD5RzNq95l4A0-hQv-lykFF6eM4jUmIKqdiOhX04XZY3aq7US_5a6oBFMh3f2wjuL0pSJpvXoMV7v8soFjq0azX-l5kuQFW4VLH_TWSQsMq1-YToUK526Agc2yY8H6OF0uU.EVkoKLBdeuj0aBPI8A97d4oXIBg3y9fcO091W9NUCTQ&dib_tag=se&keywords=fridge&qid=1718608271&sr=8-23,https://m.media-amazon.com/images/I/81x1dZBT5VL.__AC_SY445_SX342_QL70_ML2_.jpg
"Frigidaire FRQG1721AV 17.4 Cubic Foot Refrigerator, Silver",https://www.amazon.com/FRIGIDAIRE-FRQG1721AV-Cubic-Refrigerator-Silver/dp/B09GC3QBZC/ref=sr_1_25?dib=eyJ2IjoiMSJ9._ML-eIcX94xzk1kXKYKnDR76Q6Wnx2uC5g2CZB4ExodaHhsHdP8Cthc64FsmyON0RRQdNCjmna4HP0GlDJJx5cZ3Ad6mlNsdOavyKcsuvD5RzNq95l4A0-hQv-lykFF6eM4jUmIKqdiOhX04XZY3aq7US_5a6oBFMh3f2wjuL0pSJpvXoMV7v8soFjq0azX-l5kuQFW4VLH_TWSQsMq1-YToUK526Agc2yY8H6OF0uU.EVkoKLBdeuj0aBPI8A97d4oXIBg3y9fcO091W9NUCTQ&dib_tag=se&keywords=fridge&qid=1718608271&sr=8-25,https://m.media-amazon.com/images/I/41RPyYeGPrL.__AC_SY445_SX342_QL70_ML2_.jpg
"FRIGIDAIRE EFR756-CREAM EFR756, 2 Door Apartment Size Retro Refrigerator with Top Freezer, Chrome Handles, 7.5 cu ft, Cream",https://www.amazon.com/FRIGIDAIRE-EFR756-CREAM-Apartment-Refrigerator-Freezer/dp/B08TCJG7T9/ref=sr_1_26?dib=eyJ2IjoiMSJ9._ML-eIcX94xzk1kXKYKnDR76Q6Wnx2uC5g2CZB4ExodaHhsHdP8Cthc64FsmyON0RRQdNCjmna4HP0GlDJJx5cZ3Ad6mlNsdOavyKcsuvD5RzNq95l4A0-hQv-lykFF6eM4jUmIKqdiOhX04XZY3aq7US_5a6oBFMh3f2wjuL0pSJpvXoMV7v8soFjq0azX-l5kuQFW4VLH_TWSQsMq1-YToUK526Agc2yY8H6OF0uU.EVkoKLBdeuj0aBPI8A97d4oXIBg3y9fcO091W9NUCTQ&dib_tag=se&keywords=fridge&qid=1718608271&sr=8-26,https://m.media-amazon.com/images/I/61RmvVSQDcL.__AC_SX342_SY445_QL70_ML2_.jpg
"Frigidaire Mini Portable Compact Personal Fridge Cooler, 4 Liter Capacity Chills Six 12 oz Cans, 100% Freon-Free & Eco Friendly, Includes Plugs for Home Outlet & 12V Car Charger - White",https://www.amazon.com/Frigidaire-Portable-Personal-Capacity-Freon-Free/dp/B08F2X9FBQ/ref=sr_1_27?dib=eyJ2IjoiMSJ9._ML-eIcX94xzk1kXKYKnDR76Q6Wnx2uC5g2CZB4ExodaHhsHdP8Cthc64FsmyON0RRQdNCjmna4HP0GlDJJx5cZ3Ad6mlNsdOavyKcsuvD5RzNq95l4A0-hQv-lykFF6eM4jUmIKqdiOhX04XZY3aq7US_5a6oBFMh3f2wjuL0pSJpvXoMV7v8soFjq0azX-l5kuQFW4VLH_TWSQsMq1-YToUK526Agc2yY8H6OF0uU.EVkoKLBdeuj0aBPI8A97d4oXIBg3y9fcO091W9NUCTQ&dib_tag=se&keywords=fridge&qid=1718608271&sr=8-27,https://m.media-amazon.com/images/I/61IwWf2lQML.__AC_SY445_SX342_QL70_ML2_.jpg
hOmeLabs Beverage Refrigerator and Cooler - 120 Can Mini Fridge with Glass Door for Soda Beer or Wine - Small Drink Dispenser Machine for Office or Bar with Adjustable Removable Shelves,https://www.amazon.com/hOmeLabs-Beverage-Refrigerator-Cooler-Adjustable/dp/B0786TJC33/ref=sr_1_28?dib=eyJ2IjoiMSJ9._ML-eIcX94xzk1kXKYKnDR76Q6Wnx2uC5g2CZB4ExodaHhsHdP8Cthc64FsmyON0RRQdNCjmna4HP0GlDJJx5cZ3Ad6mlNsdOavyKcsuvD5RzNq95l4A0-hQv-lykFF6eM4jUmIKqdiOhX04XZY3aq7US_5a6oBFMh3f2wjuL0pSJpvXoMV7v8soFjq0azX-l5kuQFW4VLH_TWSQsMq1-YToUK526Agc2yY8H6OF0uU.EVkoKLBdeuj0aBPI8A97d4oXIBg3y9fcO091W9NUCTQ&dib_tag=se&keywords=fridge&qid=1718608271&sr=8-28,https://m.media-amazon.com/images/I/71G-itWi-HL.__AC_SY445_SX342_QL70_ML2_.jpg
"Compact Refrigerator Double Door Mini Fridge with Freezer, 3.5 CU FT Mini Refrigerator with 7 Level Adjustable Thermostat for Office, Dorm, Apartment, Black",https://www.amazon.com/Kazigak-Refrigerator-Adjustable-Thermostat-Apartment/dp/B0CC5HGQ4Y/ref=sr_1_29?dib=eyJ2IjoiMSJ9._ML-eIcX94xzk1kXKYKnDR76Q6Wnx2uC5g2CZB4ExodaHhsHdP8Cthc64FsmyON0RRQdNCjmna4HP0GlDJJx5cZ3Ad6mlNsdOavyKcsuvD5RzNq95l4A0-hQv-lykFF6eM4jUmIKqdiOhX04XZY3aq7US_5a6oBFMh3f2wjuL0pSJpvXoMV7v8soFjq0azX-l5kuQFW4VLH_TWSQsMq1-YToUK526Agc2yY8H6OF0uU.EVkoKLBdeuj0aBPI8A97d4oXIBg3y9fcO091W9NUCTQ&dib_tag=se&keywords=fridge&qid=1718608271&sr=8-29,https://m.media-amazon.com/images/I/51SkGzaVYhL.__AC_SY445_SX342_QL70_ML2_.jpg
"Mini Fridge - Skincare Fridge With Dimmable LED Light Mirror,4L,Cooler or Warmer,Portable and Compact,Home & Car Use, White",https://www.amazon.com/Yacumx-Mini-Fridge-Skincare-Dimmable/dp/B0CXXXVLJS/ref=sr_1_30?dib=eyJ2IjoiMSJ9._ML-eIcX94xzk1kXKYKnDR76Q6Wnx2uC5g2CZB4ExodaHhsHdP8Cthc64FsmyON0RRQdNCjmna4HP0GlDJJx5cZ3Ad6mlNsdOavyKcsuvD5RzNq95l4A0-hQv-lykFF6eM4jUmIKqdiOhX04XZY3aq7US_5a6oBFMh3f2wjuL0pSJpvXoMV7v8soFjq0azX-l5kuQFW4VLH_TWSQsMq1-YToUK526Agc2yY8H6OF0uU.EVkoKLBdeuj0aBPI8A97d4oXIBg3y9fcO091W9NUCTQ&dib_tag=se&keywords=fridge&qid=1718608271&sr=8-30,https://m.media-amazon.com/images/I/51mFzPbloDL.__AC_SY445_SX342_QL70_ML2_.jpg
"3.5 Cu.Ft Mini Fridge with Freezer, 2 Door Design Small Refrigerator, 7 Level Adjustable Thermostat, Compact Fridge for Dorm, Office, Kitchen and Apartment(Silver)",https://www.amazon.com/Geekman-Refrigerator-Adjustable-Thermostat-Apartment/dp/B0CWP4JXPQ/ref=sr_1_31?dib=eyJ2IjoiMSJ9._ML-eIcX94xzk1kXKYKnDR76Q6Wnx2uC5g2CZB4ExodaHhsHdP8Cthc64FsmyON0RRQdNCjmna4HP0GlDJJx5cZ3Ad6mlNsdOavyKcsuvD5RzNq95l4A0-hQv-lykFF6eM4jUmIKqdiOhX04XZY3aq7US_5a6oBFMh3f2wjuL0pSJpvXoMV7v8soFjq0azX-l5kuQFW4VLH_TWSQsMq1-YToUK526Agc2yY8H6OF0uU.EVkoKLBdeuj0aBPI8A97d4oXIBg3y9fcO091W9NUCTQ&dib_tag=se&keywords=fridge&qid=1718608271&sr=8-31,https://m.media-amazon.com/images/I/61roiwrdl5L.__AC_SY445_SX342_QL70_ML2_.jpg
KRIB BLING Refrigerator with Freezer 3.5 Cu.Ft with 7 Level Adjustable Thermostat Control 2 Door Energy Saving Top-Freezer Compact Refrigerator Black,https://www.amazon.com/KRIB-BLING-Refrigerator-Adjustable-Top-Freezer/dp/B0C3H5HSTP/ref=sr_1_32?dib=eyJ2IjoiMSJ9._ML-eIcX94xzk1kXKYKnDR76Q6Wnx2uC5g2CZB4ExodaHhsHdP8Cthc64FsmyON0RRQdNCjmna4HP0GlDJJx5cZ3Ad6mlNsdOavyKcsuvD5RzNq95l4A0-hQv-lykFF6eM4jUmIKqdiOhX04XZY3aq7US_5a6oBFMh3f2wjuL0pSJpvXoMV7v8soFjq0azX-l5kuQFW4VLH_TWSQsMq1-YToUK526Agc2yY8H6OF0uU.EVkoKLBdeuj0aBPI8A97d4oXIBg3y9fcO091W9NUCTQ&dib_tag=se&keywords=fridge&qid=1718608271&sr=8-32,https://m.media-amazon.com/images/I/61L2HyqGDML.__AC_SX342_SY445_QL70_ML2_.jpg
